Job Code,Position,Employee,Score Contribution (%)
BCDR007,PD,AMF,60
BCDR007,Co-PD,RLM,40
BCDR007,PM,NFI,70
BCDR007,Co-PM,DGS,30
BCDR008,PD,AMF,100
BCDR008,PM,WNA,70
BCDR008,Co-PM,OMW,30
BCDR009,PD,DTP,70
BCDR009,Co-PD,FYA,30
BCDR009,PM,IFS,60
BCDR009,Co-PM,RLM,40
BCDR010,PD,NFI,70
BCDR010,Co-PD,TSR,30
BCDR010,PM,DGS,100
BCDR011,PD,JQV,70
BCDR011,Co-PD,FYA,30
BCDR011,PM,NFI,100
BCDR012,PD,TSR,70
BCDR012,Co-PD,TLW,30
BCDR012,PM,OMW,100
BCDR013,PD,IFS,60
BCDR013,Co-PD,DTP,40
BCDR013,PM,WNA,70
BCDR013,Co-PM,OMW,30
BCDR014,PD,WNA,60
BCDR014,Co-PD,JQV,40
BCDR014,PM,AMF,70
BCDR014,Co-PM,DLP,30
BCDR015,PD,AMF,70
BCDR015,Co-PD,FYA,30
BCDR015,PM,HZR,60
BCDR015,Co-PM,DLP,40
BCDR016,PD,FYA,60
BCDR016,Co-PD,HZR,40
BCDR016,PM,IFI,60
BCDR016,Co-PM,TSR,40
BCDR017,PD,JQV,100
BCDR017,PM,AMF,70
BCDR017,Co-PM,RLM,30
BCDR018,PD,WNA,100
BCDR018,PM,IFI,70
BCDR018,Co-PM,TSR,30
BCDR019,PD,AMF,70
BCDR019,Co-PD,DGS,30
BCDR019,PM,NFI,100
BCDR020,PD,RLM,70
BCDR020,Co-PD,FYA,30
BCDR020,PM,NFI,100
BCDR021,PD,IFS,100
BCDR021,PM,TSR,60
BCDR021,Co-PM,WNA,40
BCDR022,PD,HZR,100
BCDR022,PM,TLW,70
BCDR022,Co-PM,IFI,30
BCDR023,PD,JQV,100
BCDR023,PM,FYA,100
BCDR024,PD,OMW,100
BCDR024,PM,TLW,60
BCDR024,Co-PM,IFI,40
BCDR025,PD,DLP,100
BCDR025,PM,HZR,70
BCDR025,Co-PM,JQV,30
BCDR026,PD,RLM,100
BCDR026,PM,IFS,60
BCDR026,Co-PM,OMW,40
BCDR027,PD,WNA,70
BCDR027,Co-PD,IFS,30
BCDR027,PM,JQV,100
BCDR028,PD,AMF,100
BCDR028,PM,DGS,60
BCDR028,Co-PM,JQV,40
BCDR029,PD,DLP,60
BCDR029,Co-PD,NFI,40
BCDR029,PM,DTP,100
BCDR030,PD,HZR,100
BCDR030,PM,WNA,100
BCDR031,PD,WNA,100
BCDR031,PM,HZR,100
BCDR032,PD,DGS,100
BCDR032,PM,IFS,70
BCDR032,Co-PM,TSR,30
BCDR033,PD,WNA,100
BCDR033,PM,IFS,100
BCDR034,PD,IFS,70
BCDR034,Co-PD,DTP,30
BCDR034,PM,TSR,100
BCDR035,PD,DGS,100
BCDR035,PM,NFI,70
BCDR035,Co-PM,AMF,30
BCDR036,PD,DLP,100
BCDR036,PM,HZR,70
BCDR036,Co-PM,DGS,30
BCDR037,PD,IFI,100
BCDR037,PM,IFS,60
BCDR037,Co-PM,AMF,40
BCDR038,PD,NFI,100
BCDR038,PM,DGS,100
BCDR039,PD,NFI,100
BCDR039,PM,TLW,100
BCDR040,PD,AMF,60
BCDR040,Co-PD,WNA,40
BCDR040,PM,DLP,60
BCDR040,Co-PM,IFI,40
BCDR041,PD,DTP,100
BCDR041,PM,FYA,100
BCDR042,PD,DTP,70
BCDR042,Co-PD,JQV,30
BCDR042,PM,FYA,60
BCDR042,Co-PM,DLP,40
BCDR043,PD,DLP,100
BCDR043,PM,TSR,100
BCDR044,PD,NFI,100
BCDR044,PM,RLM,100
BCSP001,PD,IFS,100
BCSP001,PM,NFI,100
BCSP002,PD,RLM,70
BCSP002,Co-PD,DLP,30
