Job Code,Term,Activity,Date,PIC,Description
BBN01-25-11-01,1,Invoice Sent,2026-01-14,SSM,Finance approval completed
BBN01-25-11-01,1,Invoice Billed,2026-01-17,AMF,Invoice verified
BBN01-25-11-01,1,Invoice Paid,2026-01-25,AOW,Finance approval completed
BBN01-25-11-01,2,Invoice Sent,2026-01-29,SHS,Payment confirmation received
BBN01-25-11-01,2,Invoice Billed,2026-02-11,MRK,Invoice verified
BBN01-25-11-01,2,Invoice Paid,2026-03-14,RLM,Invoice issued to client
BBN01-25-11-01,3,Invoice Sent,2026-03-13,RLM,Payment confirmation received
BBN01-25-11-01,3,Invoice Billed,2026-03-26,MRK,Invoice verified
BBN01-25-11-01,3,Invoice Paid,2026-05-03,RLM,Invoice successfully paid
BCA01-25-09-01,1,Invoice Sent,2025-11-21,DGS,Finance approval completed
BCA01-25-09-01,1,Invoice Billed,2025-12-02,AMF,Invoice verified
BCA01-25-09-01,1,Invoice Paid,2026-01-03,RLM,Payment confirmation received
BCA01-25-09-01,2,Invoice Sent,2025-12-09,TSR,Invoice successfully paid
BCA01-25-09-01,2,Invoice Billed,2025-12-17,OMW,Invoice issued to client
BCA01-25-09-01,2,Invoice Paid,2025-12-29,RLM,Payment confirmation received
BCA01-25-09-01,3,Invoice Sent,2025-12-20,NVN,Payment confirmation received
BCA01-25-09-01,3,Invoice Billed,2025-12-31,OMW,Invoice verified
BCA01-25-09-01,3,Invoice Paid,2026-02-11,AMF,Invoice verified
BCA01-25-09-01,4,Invoice Sent,2025-11-27,SHS,Invoice successfully paid
BCA01-25-09-01,4,Invoice Billed,2025-12-07,RLM,Payment confirmation received
BCA01-25-09-01,4,Invoice Paid,2025-12-16,RLM,Payment confirmation received
BCA01-25-09-01,5,Invoice Sent,2025-12-28,AOW,Finance approval completed
BCA01-25-09-01,5,Invoice Billed,2026-01-08,OMW,Invoice successfully paid
BCA01-25-11-01,1,Invoice Sent,2026-03-30,TSR,Invoice successfully paid
BCA01-25-11-01,1,Invoice Billed,2026-04-06,DGS,Invoice issued to client
BCA01-25-11-01,1,Invoice Paid,2026-04-22,AMF,Invoice successfully paid
BCA01-25-11-01,2,Invoice Sent,2026-04-24,SHS,Invoice verified
BCA01-25-11-01,2,Invoice Billed,2026-05-02,RLM,Invoice verified
BCA01-25-11-01,2,Invoice Paid,2026-06-04,AOW,Finance approval completed
BCA01-25-11-01,3,Invoice Sent,2026-01-24,DGS,Invoice issued to client
BCA01-25-11-01,3,Invoice Billed,2026-02-05,OMW,Invoice successfully paid
BCA01-25-11-01,3,Invoice Paid,2026-03-18,AMF,Invoice verified
BCA01-25-11-01,4,Invoice Sent,2026-01-11,TSR,Payment confirmation received
BCA01-25-11-01,4,Invoice Billed,2026-01-18,SHS,Payment confirmation received
BCA01-25-11-01,4,Invoice Paid,2026-02-27,SSM,Finance approval completed
BCA01-25-11-01,5,Invoice Sent,2026-02-04,MRK,Payment confirmation received
BCA01-25-11-01,5,Invoice Billed,2026-02-08,MRK,Invoice successfully paid
BCA01-25-11-01,5,Invoice Paid,2026-02-22,RLM,Invoice verified
BCDR007,1,Invoice Sent,2013-12-14,RLM,Invoice verified
BCDR008,1,Invoice Sent,2014-05-05,OMW,Payment confirmation received
BCDR008,1,Invoice Billed,2014-05-11,SSM,Payment confirmation received
BCDR009,1,Invoice Sent,2014-01-20,DGS,Invoice verified
BCDR009,1,Invoice Billed,2014-01-27,NVN,Finance approval completed
BCDR009,1,Invoice Paid,2014-02-28,NVN,Invoice issued to client
BCDR009,2,Invoice Sent,2014-01-19,NVN,Invoice successfully paid
BCDR009,2,Invoice Billed,2014-01-29,DGS,Invoice successfully paid
BCDR009,2,Invoice Paid,2014-02-11,SHS,Invoice successfully paid
BCDR010,1,Invoice Sent,2014-02-05,TSR,Invoice verified
BCDR010,1,Invoice Billed,2014-02-12,TSR,Finance approval completed
BCDR010,1,Invoice Paid,2014-02-23,SSM,Payment confirmation received
BCDR010,2,Invoice Sent,2014-02-05,MRK,Finance approval completed
BCDR010,2,Invoice Billed,2014-02-12,RLM,Finance approval completed
BCDR010,2,Invoice Paid,2014-03-25,TSR,Finance approval completed
BCDR011,1,Invoice Sent,2014-02-06,TSR,Payment confirmation received
BCDR011,1,Invoice Billed,2014-02-17,DGS,Invoice issued to client
BCDR011,1,Invoice Paid,2014-03-24,AOW,Payment confirmation received
BCDR012,1,Invoice Sent,2014-02-11,MRK,Invoice verified
BCDR012,1,Invoice Billed,2014-02-23,DGS,Payment confirmation received
BCDR012,1,Invoice Paid,2014-03-18,AMF,Payment confirmation received
BCDR013,1,Invoice Sent,2014-03-25,AMF,Finance approval completed
BCDR013,1,Invoice Billed,2014-03-31,RLM,Payment confirmation received
BCDR013,1,Invoice Paid,2014-05-12,SSM,Invoice successfully paid
BCDR014,1,Invoice Sent,2014-02-17,SHS,Finance approval completed
BCDR014,1,Invoice Billed,2014-02-21,NVN,Invoice successfully paid
BCDR014,1,Invoice Paid,2014-03-20,TSR,Invoice issued to client
BCDR014,2,Invoice Sent,2014-02-13,RLM,Invoice verified
BCDR014,2,Invoice Billed,2014-02-26,DGS,Invoice issued to client
BCDR014,2,Invoice Paid,2014-04-04,NVN,Invoice verified
BCDR015,1,Invoice Sent,2014-07-07,SHS,Invoice issued to client
BCDR015,1,Invoice Billed,2014-07-11,SSM,Invoice issued to client
BCDR015,1,Invoice Paid,2014-07-21,OMW,Finance approval completed
BCDR016,1,Invoice Sent,2015-04-06,AMF,Payment confirmation received
BCDR016,1,Invoice Billed,2015-04-14,OMW,Payment confirmation received
BCDR016,2,Invoice Sent,2015-04-07,DGS,Invoice issued to client
BCDR016,2,Invoice Billed,2015-04-14,NVN,Invoice successfully paid
BCDR016,2,Invoice Paid,2015-05-15,SSM,Invoice issued to client
BCDR017,1,Invoice Sent,,TSR,Finance approval completed
BCDR017,1,Invoice Billed,,AOW,Invoice verified
BCDR017,1,Invoice Paid,,AOW,Invoice verified
BCDR018,1,Invoice Sent,2015-01-24,AOW,Payment confirmation received
BCDR019,1,Invoice Sent,2016-01-06,AOW,Finance approval completed
BCDR019,1,Invoice Billed,2016-01-15,SSM,Payment confirmation received
BCDR019,1,Invoice Paid,2016-02-18,AOW,Invoice verified
BCDR019,2,Invoice Sent,2016-01-01,AOW,Invoice successfully paid
BCDR019,2,Invoice Billed,2016-01-09,SSM,Payment confirmation received
BCDR019,2,Invoice Paid,2016-01-17,RLM,Payment confirmation received
BCDR019,3,Invoice Sent,2016-01-07,AOW,Invoice successfully paid
BCDR019,4,Invoice Sent,2016-01-02,AMF,Finance approval completed
BCDR019,4,Invoice Billed,2016-01-07,OMW,Invoice successfully paid
BCDR019,4,Invoice Paid,2016-02-08,SHS,Invoice verified
BCDR020,1,Invoice Sent,2016-12-20,DGS,Payment confirmation received
BCDR020,1,Invoice Billed,2016-12-27,TSR,Invoice issued to client
BCDR020,1,Invoice Paid,2017-01-24,RLM,Finance approval completed
BCDR020,2,Invoice Sent,2016-05-21,OMW,Invoice issued to client
BCDR020,2,Invoice Billed,2016-06-03,SHS,Invoice verified
BCDR020,3,Invoice Sent,2016-06-07,DGS,Invoice verified
BCDR020,3,Invoice Billed,2016-06-17,SHS,Payment confirmation received
BCDR020,3,Invoice Paid,2016-07-24,AOW,Payment confirmation received
BCDR020,4,Invoice Sent,2016-06-18,NVN,Finance approval completed
BCDR020,4,Invoice Billed,2016-06-21,MRK,Invoice issued to client
BCDR020,4,Invoice Paid,2016-07-04,MRK,Invoice successfully paid
BCDR020,5,Invoice Sent,2017-11-06,AMF,Invoice successfully paid
BCDR020,5,Invoice Billed,2017-11-17,SHS,Invoice issued to client
BCDR020,5,Invoice Paid,2017-12-28,TSR,Invoice issued to client
BCDR021,1,Invoice Sent,2016-09-13,RLM,Finance approval completed
BCDR021,2,Invoice Sent,2016-09-04,SSM,Finance approval completed
BCDR021,2,Invoice Billed,2016-09-08,DGS,Finance approval completed
BCDR021,2,Invoice Paid,2016-10-07,SSM,Invoice issued to client
BCDR021,3,Invoice Sent,2016-12-02,AOW,Payment confirmation received
BCDR021,3,Invoice Billed,2016-12-16,SHS,Invoice successfully paid
BCDR021,4,Invoice Sent,2017-02-24,SHS,Invoice issued to client
BCDR021,4,Invoice Billed,2017-02-28,DGS,Invoice issued to client
BCDR021,4,Invoice Paid,2017-03-23,OMW,Payment confirmation received
BCDR022,1,Invoice Sent,2016-08-21,OMW,Payment confirmation received
BCDR022,1,Invoice Billed,2016-09-02,SHS,Finance approval completed
BCDR022,1,Invoice Paid,2016-10-14,NVN,Invoice verified
BCDR022,2,Invoice Sent,2016-08-15,AOW,Finance approval completed
BCDR022,2,Invoice Billed,2016-08-20,MRK,Finance approval completed
BCDR022,2,Invoice Paid,2016-09-10,AMF,Invoice successfully paid
BCDR023,1,Invoice Sent,2017-10-27,NVN,Invoice successfully paid
BCDR023,1,Invoice Billed,2017-11-09,SHS,Invoice successfully paid
BCDR023,1,Invoice Paid,2017-12-09,AOW,Payment confirmation received
BCDR023,2,Invoice Sent,2017-10-23,DGS,Invoice verified
BCDR023,2,Invoice Billed,2017-10-27,MRK,Invoice verified
BCDR023,3,Invoice Sent,2017-10-22,SSM,Invoice successfully paid
BCDR023,3,Invoice Billed,2017-11-03,SSM,Finance approval completed
BCDR023,3,Invoice Paid,2017-11-15,SSM,Payment confirmation received
BCDR024,1,Invoice Sent,2017-11-03,SHS,Invoice verified
BCDR024,1,Invoice Billed,2017-11-10,DGS,Payment confirmation received
BCDR024,1,Invoice Paid,2017-11-29,AMF,Finance approval completed
BCDR024,2,Invoice Sent,2018-01-02,DGS,Invoice issued to client
BCDR024,2,Invoice Billed,2018-01-10,TSR,Finance approval completed
BCDR024,2,Invoice Paid,2018-01-21,RLM,Payment confirmation received
BCDR025,1,Invoice Sent,2017-12-17,TSR,Invoice successfully paid
BCDR025,1,Invoice Billed,2017-12-30,OMW,Invoice issued to client
BCDR025,1,Invoice Paid,2018-01-20,NVN,Finance approval completed
