Job Code,Activity,Date,PIC,File Link,Description
BCA01-25-09-01,SPK Sent,2025-10-22,FYA,https://company.sharepoint.com/BCA01-25-09-01/spk_sent.pdf,Signed by client
BCA01-25-09-01,SPK Received,2025-10-30,WNA,https://company.sharepoint.com/BCA01-25-09-01/spk_received.pdf,Document uploaded
BCA01-25-09-01,SPK Signed,2025-10-31,OMW,https://company.sharepoint.com/BCA01-25-09-01/spk_signed.pdf,Waiting for approval
BCA01-25-11-01,SPK Sent,2025-11-06,AMF,https://company.sharepoint.com/BCA01-25-11-01/spk_sent.pdf,Document uploaded
BCA01-25-11-01,SPK Received,2025-11-11,DTP,https://company.sharepoint.com/BCA01-25-11-01/spk_received.pdf,Final version uploaded
BCA01-25-11-01,SPK Signed,2025-11-13,OMW,https://company.sharepoint.com/BCA01-25-11-01/spk_signed.pdf,Reviewed by Legal
BCDR007,SPK Sent,2013-07-24,WNA,https://company.sharepoint.com/BCDR007/spk_sent.pdf,Reviewed by Legal
BCDR007,SPK Received,2013-07-29,DLP,https://company.sharepoint.com/BCDR007/spk_received.pdf,Signed by client
BCDR007,SPK Signed,2013-08-01,FYA,https://company.sharepoint.com/BCDR007/spk_signed.pdf,Internal verification completed
BCDR008,SPK Sent,2013-10-21,AMF,https://company.sharepoint.com/BCDR008/spk_sent.pdf,Approved
BCDR008,SPK Received,2013-10-29,AMF,https://company.sharepoint.com/BCDR008/spk_received.pdf,Final version uploaded
BCDR008,SPK Signed,2013-10-30,OMW,https://company.sharepoint.com/BCDR008/spk_signed.pdf,Waiting for approval
BCDR009,SPK Sent,2014-01-03,FYA,https://company.sharepoint.com/BCDR009/spk_sent.pdf,Approved
BCDR009,SPK Received,2014-01-08,DLP,https://company.sharepoint.com/BCDR009/spk_received.pdf,Document uploaded
BCDR009,SPK Signed,2014-01-10,TLW,https://company.sharepoint.com/BCDR009/spk_signed.pdf,Reviewed by Legal
BCDR009,Addendum Sent,2014-04-05,IFS,https://company.sharepoint.com/BCDR009/addendum_sent.pdf,Waiting for approval
BCDR009,Addendum Received,2014-04-12,IFS,https://company.sharepoint.com/BCDR009/addendum_received.pdf,Approved
BCDR009,Addendum Signed,2014-04-13,NFI,https://company.sharepoint.com/BCDR009/addendum_signed.pdf,Signed by client
BCDR010,SPK Sent,2014-01-15,FYA,https://company.sharepoint.com/BCDR010/spk_sent.pdf,Reviewed by Legal
BCDR010,SPK Received,2014-01-17,DGS,https://company.sharepoint.com/BCDR010/spk_received.pdf,Approved
BCDR010,SPK Signed,2014-01-20,DTP,https://company.sharepoint.com/BCDR010/spk_signed.pdf,Signed by client
BCDR010,Addendum Sent,2014-04-28,HZR,https://company.sharepoint.com/BCDR010/addendum_sent.pdf,Signed by client
BCDR010,Addendum Received,2014-04-29,DTP,https://company.sharepoint.com/BCDR010/addendum_received.pdf,Waiting for approval
BCDR010,Addendum Signed,2014-05-03,AMF,https://company.sharepoint.com/BCDR010/addendum_signed.pdf,Document uploaded
BCDR011,SPK Sent,2014-01-20,FYA,https://company.sharepoint.com/BCDR011/spk_sent.pdf,Waiting for approval
BCDR011,SPK Received,2014-01-21,RLM,https://company.sharepoint.com/BCDR011/spk_received.pdf,Waiting for approval
BCDR011,SPK Signed,2014-01-25,OMW,https://company.sharepoint.com/BCDR011/spk_signed.pdf,Document uploaded
BCDR011,Addendum Sent,2014-04-08,WNA,https://company.sharepoint.com/BCDR011/addendum_sent.pdf,Final version uploaded
BCDR011,Addendum Received,2014-04-15,TSR,https://company.sharepoint.com/BCDR011/addendum_received.pdf,Approved
BCDR011,Addendum Signed,2014-04-18,IFS,https://company.sharepoint.com/BCDR011/addendum_signed.pdf,Document uploaded
BCDR012,SPK Sent,2014-01-12,TLW,https://company.sharepoint.com/BCDR012/spk_sent.pdf,Approved
BCDR012,SPK Received,2014-01-17,DGS,https://company.sharepoint.com/BCDR012/spk_received.pdf,Internal verification completed
BCDR012,SPK Signed,2014-01-20,HZR,https://company.sharepoint.com/BCDR012/spk_signed.pdf,Document uploaded
BCDR013,SPK Sent,2014-01-30,DLP,https://company.sharepoint.com/BCDR013/spk_sent.pdf,Waiting for approval
BCDR013,SPK Received,2014-02-05,DGS,https://company.sharepoint.com/BCDR013/spk_received.pdf,Internal verification completed
BCDR013,SPK Signed,2014-02-06,JQV,https://company.sharepoint.com/BCDR013/spk_signed.pdf,Approved
BCDR013,Addendum Sent,2014-03-09,NFI,https://company.sharepoint.com/BCDR013/addendum_sent.pdf,Reviewed by Legal
BCDR013,Addendum Received,2014-03-12,DLP,https://company.sharepoint.com/BCDR013/addendum_received.pdf,Reviewed by Legal
BCDR013,Addendum Signed,2014-03-14,JQV,https://company.sharepoint.com/BCDR013/addendum_signed.pdf,Final version uploaded
BCDR014,SPK Sent,2014-01-28,DGS,https://company.sharepoint.com/BCDR014/spk_sent.pdf,Document uploaded
BCDR014,SPK Received,2014-02-03,FYA,https://company.sharepoint.com/BCDR014/spk_received.pdf,Final version uploaded
BCDR014,SPK Signed,2014-02-04,DTP,https://company.sharepoint.com/BCDR014/spk_signed.pdf,Document uploaded
BCDR015,SPK Sent,2014-02-24,FYA,https://company.sharepoint.com/BCDR015/spk_sent.pdf,Internal verification completed
BCDR015,SPK Received,2014-02-26,IFI,https://company.sharepoint.com/BCDR015/spk_received.pdf,Reviewed by Legal
BCDR015,SPK Signed,2014-03-01,IFS,https://company.sharepoint.com/BCDR015/spk_signed.pdf,Approved
BCDR015,Addendum Sent,2014-05-02,DLP,https://company.sharepoint.com/BCDR015/addendum_sent.pdf,Reviewed by Legal
BCDR015,Addendum Received,2014-05-08,TSR,https://company.sharepoint.com/BCDR015/addendum_received.pdf,Final version uploaded
BCDR015,Addendum Signed,2014-05-12,IFI,https://company.sharepoint.com/BCDR015/addendum_signed.pdf,Final version uploaded
BCDR016,SPK Sent,2014-03-23,AMF,https://company.sharepoint.com/BCDR016/spk_sent.pdf,Document uploaded
BCDR016,SPK Received,2014-03-28,WNA,https://company.sharepoint.com/BCDR016/spk_received.pdf,Signed by client
BCDR016,SPK Signed,2014-04-01,NFI,https://company.sharepoint.com/BCDR016/spk_signed.pdf,Signed by client
BCDR018,SPK Sent,2014-12-29,TSR,https://company.sharepoint.com/BCDR018/spk_sent.pdf,Final version uploaded
BCDR018,SPK Received,2015-01-02,JQV,https://company.sharepoint.com/BCDR018/spk_received.pdf,Approved
BCDR018,SPK Signed,2015-01-06,NFI,https://company.sharepoint.com/BCDR018/spk_signed.pdf,Document uploaded
BCDR019,SPK Sent,2015-05-12,TSR,https://company.sharepoint.com/BCDR019/spk_sent.pdf,Signed by client
BCDR019,SPK Received,2015-05-16,DGS,https://company.sharepoint.com/BCDR019/spk_received.pdf,Final version uploaded
BCDR019,SPK Signed,2015-05-19,NFI,https://company.sharepoint.com/BCDR019/spk_signed.pdf,Internal verification completed
BCDR020,SPK Sent,2015-12-04,DLP,https://company.sharepoint.com/BCDR020/spk_sent.pdf,Approved
BCDR020,SPK Received,2015-12-12,DTP,https://company.sharepoint.com/BCDR020/spk_received.pdf,Reviewed by Legal
BCDR020,SPK Signed,2015-12-14,DTP,https://company.sharepoint.com/BCDR020/spk_signed.pdf,Internal verification completed
BCDR021,SPK Sent,2016-05-03,NFI,https://company.sharepoint.com/BCDR021/spk_sent.pdf,Approved
BCDR021,SPK Received,2016-05-05,DLP,https://company.sharepoint.com/BCDR021/spk_received.pdf,Waiting for approval
BCDR021,SPK Signed,2016-05-09,NFI,https://company.sharepoint.com/BCDR021/spk_signed.pdf,Final version uploaded
BCDR022,SPK Sent,2016-07-09,FYA,https://company.sharepoint.com/BCDR022/spk_sent.pdf,Internal verification completed
BCDR022,SPK Received,2016-07-15,TLW,https://company.sharepoint.com/BCDR022/spk_received.pdf,Internal verification completed
