Job Code,Term,Activity,Date,PIC,File Link,Description
BCA01-25-09-01,1,BAST Sent,2025-11-15,IFI,https://company.sharepoint.com/BCA01-25-09-01/bast_sent.pdf,Document submitted to client
BCA01-25-09-01,1,BAST Received,2025-11-18,DLP,https://company.sharepoint.com/BCA01-25-09-01/bast_received.pdf,Document submitted to client
BCA01-25-09-01,2,BAST Sent,2026-02-28,WNA,https://company.sharepoint.com/BCA01-25-09-01/bast_sent.pdf,Client acknowledged receipt
BCA01-25-09-01,2,BAST Received,2026-03-02,DLP,https://company.sharepoint.com/BCA01-25-09-01/bast_received.pdf,Verified by PMO
BCA01-25-09-01,3,BAST Sent,2026-03-29,OMW,https://company.sharepoint.com/BCA01-25-09-01/bast_sent.pdf,Final BAST uploaded
BCA01-25-09-01,3,BAST Received,2026-04-01,DLP,https://company.sharepoint.com/BCA01-25-09-01/bast_received.pdf,Verified by PMO
BCA01-25-09-01,4,BAST Sent,2026-09-28,WNA,https://company.sharepoint.com/BCA01-25-09-01/bast_sent.pdf,Client acknowledged receipt
BCA01-25-09-01,4,BAST Received,2026-10-05,DLP,https://company.sharepoint.com/BCA01-25-09-01/bast_received.pdf,Document archived
BCA01-25-11-01,1,BAST Sent,2025-11-30,DLP,https://company.sharepoint.com/BCA01-25-11-01/bast_sent.pdf,Client acknowledged receipt
BCA01-25-11-01,1,BAST Received,2025-12-02,DLP,https://company.sharepoint.com/BCA01-25-11-01/bast_received.pdf,Document submitted to client
BCA01-25-11-01,2,BAST Sent,2026-03-05,DTP,https://company.sharepoint.com/BCA01-25-11-01/bast_sent.pdf,BAST document created
BCA01-25-11-01,2,BAST Received,2026-03-08,DLP,https://company.sharepoint.com/BCA01-25-11-01/bast_received.pdf,BAST document created
BCDR007,1,BAST Sent,2013-08-16,IFS,https://company.sharepoint.com/BCDR007/bast_sent.pdf,Verified by PMO
BCDR007,1,BAST Received,2013-08-19,DLP,https://company.sharepoint.com/BCDR007/bast_received.pdf,Verified by PMO
BCDR007,2,BAST Sent,2013-12-09,JQV,https://company.sharepoint.com/BCDR007/bast_sent.pdf,Final BAST uploaded
BCDR007,2,BAST Received,2013-12-12,DLP,https://company.sharepoint.com/BCDR007/bast_received.pdf,BAST document created
BCDR008,1,BAST Sent,2013-11-13,TSR,https://company.sharepoint.com/BCDR008/bast_sent.pdf,Verified by PMO
BCDR008,1,BAST Received,2013-11-18,DLP,https://company.sharepoint.com/BCDR008/bast_received.pdf,Final BAST uploaded
BCDR008,2,BAST Sent,2014-02-25,OMW,https://company.sharepoint.com/BCDR008/bast_sent.pdf,Verified by PMO
BCDR008,2,BAST Received,2014-03-02,DLP,https://company.sharepoint.com/BCDR008/bast_received.pdf,Document submitted to client
BCDR009,1,BAST Sent,2014-01-28,FYA,https://company.sharepoint.com/BCDR009/bast_sent.pdf,BAST document created
BCDR009,1,BAST Received,2014-02-04,DLP,https://company.sharepoint.com/BCDR009/bast_received.pdf,Document archived
BCDR009,2,BAST Sent,2014-05-10,RLM,https://company.sharepoint.com/BCDR009/bast_sent.pdf,Final BAST uploaded
BCDR009,2,BAST Received,2014-05-13,DLP,https://company.sharepoint.com/BCDR009/bast_received.pdf,Document archived
BCDR010,1,BAST Sent,2014-02-08,HZR,https://company.sharepoint.com/BCDR010/bast_sent.pdf,Client acknowledged receipt
BCDR010,1,BAST Received,2014-02-10,DLP,https://company.sharepoint.com/BCDR010/bast_received.pdf,Document submitted to client
BCDR010,2,BAST Sent,2014-06-05,DTP,https://company.sharepoint.com/BCDR010/bast_sent.pdf,BAST document created
BCDR010,2,BAST Received,2014-06-08,DLP,https://company.sharepoint.com/BCDR010/bast_received.pdf,BAST document created
BCDR010,3,BAST Sent,2014-09-09,DGS,https://company.sharepoint.com/BCDR010/bast_sent.pdf,BAST document created
BCDR010,3,BAST Received,2014-09-16,DLP,https://company.sharepoint.com/BCDR010/bast_received.pdf,Document archived
BCDR010,4,BAST Sent,2015-01-03,JQV,https://company.sharepoint.com/BCDR010/bast_sent.pdf,Document archived
BCDR010,4,BAST Received,2015-01-06,DLP,https://company.sharepoint.com/BCDR010/bast_received.pdf,Document archived
BCDR011,1,BAST Sent,2014-02-10,DGS,https://company.sharepoint.com/BCDR011/bast_sent.pdf,Document submitted to client
BCDR011,1,BAST Received,2014-02-15,DLP,https://company.sharepoint.com/BCDR011/bast_received.pdf,Client acknowledged receipt
BCDR011,2,BAST Sent,2014-04-11,IFI,https://company.sharepoint.com/BCDR011/bast_sent.pdf,Client acknowledged receipt
BCDR011,2,BAST Received,2014-04-16,DLP,https://company.sharepoint.com/BCDR011/bast_received.pdf,Client acknowledged receipt
BCDR011,3,BAST Sent,2014-10-07,RLM,https://company.sharepoint.com/BCDR011/bast_sent.pdf,Document submitted to client
BCDR011,3,BAST Received,2014-10-10,DLP,https://company.sharepoint.com/BCDR011/bast_received.pdf,Document archived
BCDR012,1,BAST Sent,2014-02-05,HZR,https://company.sharepoint.com/BCDR012/bast_sent.pdf,Document archived
BCDR012,1,BAST Received,2014-02-09,DLP,https://company.sharepoint.com/BCDR012/bast_received.pdf,Verified by PMO
BCDR012,2,BAST Sent,2014-05-06,WNA,https://company.sharepoint.com/BCDR012/bast_sent.pdf,Document archived
BCDR012,2,BAST Received,2014-05-10,DLP,https://company.sharepoint.com/BCDR012/bast_received.pdf,Verified by PMO
BCDR012,3,BAST Sent,2014-07-14,IFI,https://company.sharepoint.com/BCDR012/bast_sent.pdf,Document submitted to client
BCDR012,3,BAST Received,2014-07-19,DLP,https://company.sharepoint.com/BCDR012/bast_received.pdf,Client acknowledged receipt
BCDR013,1,BAST Sent,2014-02-21,DTP,https://company.sharepoint.com/BCDR013/bast_sent.pdf,Client acknowledged receipt
BCDR013,1,BAST Received,2014-02-23,DLP,https://company.sharepoint.com/BCDR013/bast_received.pdf,Document archived
BCDR013,2,BAST Sent,2014-05-29,DTP,https://company.sharepoint.com/BCDR013/bast_sent.pdf,Document archived
BCDR013,2,BAST Received,2014-06-02,DLP,https://company.sharepoint.com/BCDR013/bast_received.pdf,Verified by PMO
BCDR013,3,BAST Sent,2014-07-11,TSR,https://company.sharepoint.com/BCDR013/bast_sent.pdf,Document archived
BCDR013,3,BAST Received,2014-07-16,DLP,https://company.sharepoint.com/BCDR013/bast_received.pdf,Verified by PMO
BCDR013,4,BAST Sent,2015-02-13,IFI,https://company.sharepoint.com/BCDR013/bast_sent.pdf,Final BAST uploaded
BCDR013,4,BAST Received,2015-02-15,DLP,https://company.sharepoint.com/BCDR013/bast_received.pdf,BAST document created
BCDR013,5,BAST Sent,2015-05-28,RLM,https://company.sharepoint.com/BCDR013/bast_sent.pdf,Document archived
BCDR013,5,BAST Received,2015-05-31,DLP,https://company.sharepoint.com/BCDR013/bast_received.pdf,Document archived
BCDR014,1,BAST Sent,2014-02-23,JQV,https://company.sharepoint.com/BCDR014/bast_sent.pdf,Client acknowledged receipt
BCDR014,1,BAST Received,2014-02-26,DLP,https://company.sharepoint.com/BCDR014/bast_received.pdf,Final BAST uploaded
BCDR014,2,BAST Sent,2014-04-25,IFS,https://company.sharepoint.com/BCDR014/bast_sent.pdf,Document submitted to client
BCDR014,2,BAST Received,2014-04-30,DLP,https://company.sharepoint.com/BCDR014/bast_received.pdf,Client acknowledged receipt
BCDR014,3,BAST Sent,2014-09-12,DLP,https://company.sharepoint.com/BCDR014/bast_sent.pdf,Document submitted to client
