Job Code,Position,Employee,Time Contribution (hours)
BCDR007,PD,AMF,24
BCDR007,Co-PD,RLM,16
BCDR007,PM,NFI,28
BCDR007,Co-PM,DGS,12
BCDR008,PD,AMF,40
BCDR008,PM,WNA,28
BCDR008,Co-PM,OMW,12
BCDR009,PD,DTP,28
BCDR009,Co-PD,FYA,12
BCDR009,PM,IFS,24
BCDR009,Co-PM,RLM,16
BCDR010,PD,NFI,28
BCDR010,Co-PD,TSR,12
BCDR010,PM,DGS,40
BCDR011,PD,JQV,28
BCDR011,Co-PD,FYA,12
BCDR011,PM,NFI,40
BCDR012,PD,TSR,28
BCDR012,Co-PD,TLW,12
BCDR012,PM,OMW,40
BCDR013,PD,IFS,24
BCDR013,Co-PD,DTP,16
BCDR013,PM,WNA,28
BCDR013,Co-PM,OMW,12
BCDR014,PD,WNA,24
BCDR014,Co-PD,JQV,16
BCDR014,PM,AMF,28
BCDR014,Co-PM,DLP,12
BCDR015,PD,AMF,28
BCDR015,Co-PD,FYA,12
BCDR015,PM,HZR,24
BCDR015,Co-PM,DLP,16
BCDR016,PD,FYA,24
BCDR016,Co-PD,HZR,16
BCDR016,PM,IFI,24
BCDR016,Co-PM,TSR,16
BCDR017,PD,JQV,40
BCDR017,PM,AMF,28
BCDR017,Co-PM,RLM,12
BCDR018,PD,WNA,40
BCDR018,PM,IFI,28
BCDR018,Co-PM,TSR,12
BCDR019,PD,AMF,28
BCDR019,Co-PD,DGS,12
BCDR019,PM,NFI,40
BCDR020,PD,RLM,28
BCDR020,Co-PD,FYA,12
BCDR020,PM,NFI,40
BCDR021,PD,IFS,40
BCDR021,PM,TSR,24
BCDR021,Co-PM,WNA,16
BCDR022,PD,HZR,40
BCDR022,PM,TLW,28
BCDR022,Co-PM,IFI,12
BCDR023,PD,JQV,40
BCDR023,PM,FYA,40
BCDR024,PD,OMW,40
BCDR024,PM,TLW,24
BCDR024,Co-PM,IFI,16
BCDR025,PD,DLP,40
BCDR025,PM,HZR,28
BCDR025,Co-PM,JQV,12
BCDR026,PD,RLM,40
BCDR026,PM,IFS,24
BCDR026,Co-PM,OMW,16
BCDR027,PD,WNA,28
BCDR027,Co-PD,IFS,12
BCDR027,PM,JQV,40
BCDR028,PD,AMF,40
BCDR028,PM,DGS,24
BCDR028,Co-PM,JQV,16
BCDR029,PD,DLP,24
BCDR029,Co-PD,NFI,16
BCDR029,PM,DTP,40
BCDR030,PD,HZR,40
BCDR030,PM,WNA,40
BCDR031,PD,WNA,40
BCDR031,PM,HZR,40
BCDR032,PD,DGS,40
BCDR032,PM,IFS,28
BCDR032,Co-PM,TSR,12
BCDR033,PD,WNA,40
BCDR033,PM,IFS,40
BCDR034,PD,IFS,28
BCDR034,Co-PD,DTP,12
BCDR034,PM,TSR,40
BCDR035,PD,DGS,40
BCDR035,PM,NFI,28
BCDR035,Co-PM,AMF,12
BCDR036,PD,DLP,40
BCDR036,PM,HZR,28
BCDR036,Co-PM,DGS,12
BCDR037,PD,IFI,40
BCDR037,PM,IFS,24
BCDR037,Co-PM,AMF,16
BCDR038,PD,NFI,40
BCDR038,PM,DGS,40
BCDR039,PD,NFI,40
BCDR039,PM,TLW,40
BCDR040,PD,AMF,24
BCDR040,Co-PD,WNA,16
BCDR040,PM,DLP,24
BCDR040,Co-PM,IFI,16
BCDR041,PD,DTP,40
BCDR041,PM,FYA,40
